,all_intra,intra_dmax,all_inter,inter_dmin_nn
0,0.012389380530973451,0.012389380530973451,0.1252236135957066,0.08149779735682819
1,0.0035398230088495575,0.057245080500894455,0.09481216457960644,0.07692307692307693
2,0.008849557522123894,0.003205128205128205,0.11985688729874776,0.0653950953678474
3,0.057245080500894455,0.0,0.1650326797385621,0.0918918918918919
4,0.05366726296958855,0.0,0.15221238938053097,0.07871198568872988
5,0.021798365122615803,0.004962779156327543,0.1486725663716814,0.051771117166212535
6,0.05286343612334802,0.0017699115044247787,0.11627906976744186,0.08653846153846154
7,0.012376237623762377,0.0,0.18790849673202614,0.0871559633027523
8,0.003205128205128205,0.0015290519877675841,0.16339869281045752,0.08944543828264759
9,0.0,,0.16339869281045752,0.10352422907488987
10,0.0,,0.1592128801431127,0.05722070844686648
11,0.003205128205128205,,0.18269230769230768,0.06637168141592921
12,0.0061162079510703364,,0.18790849673202614,0.07465618860510806
13,0.051771117166212535,,0.10130718954248366,0.09429280397022333
14,0.00881057268722467,,0.09803921568627451,0.037444933920704845
15,0.05198019801980198,,0.17486338797814208,0.07079646017699115
16,0.043596730245231606,,0.09838998211091235,0.054455445544554455
17,0.004405286343612335,,0.09838998211091235,0.0672782874617737
18,0.04207920792079208,,0.0881057268722467,0.07186544342507645
19,0.0,,0.10019646365422397,0.10091743119266056
20,0.004962779156327543,,0.152317880794702,0.11061946902654868
21,0.0,,0.14640198511166252,0.1172566371681416
22,0.004962779156327543,,0.15849673202614378,0.1084070796460177
23,0.0017699115044247787,,0.10619469026548672,0.1172566371681416
24,0.043596730245231606,,0.119281045751634,0.08661417322834646
25,0.005449591280653951,,0.08446866485013624,0.13053097345132744
26,0.04207920792079208,,0.08149779735682819,0.08628318584070796
27,0.0,,0.09405940594059406,0.06666666666666667
28,0.0015290519877675841,,0.1013215859030837,0.12252252252252252
29,,,0.1079646017699115,
30,,,0.15346534653465346,
31,,,0.1503267973856209,
32,,,0.11764705882352941,
33,,,0.15522875816993464,
34,,,0.14869281045751634,
35,,,0.18137254901960784,
36,,,0.17320261437908496,
37,,,0.1715686274509804,
38,,,0.1111111111111111,
39,,,0.16013071895424835,
40,,,0.12168141592920353,
41,,,0.16176470588235295,
42,,,0.09967320261437909,
43,,,0.1830065359477124,
44,,,0.14954954954954955,
45,,,0.11806797853309481,
46,,,0.13595706618962433,
47,,,0.16994633273703041,
48,,,0.13953488372093023,
49,,,0.1449016100178891,
50,,,0.13237924865831843,
51,,,0.1806797853309481,
52,,,0.18604651162790697,
53,,,0.18604651162790697,
54,,,0.16279069767441862,
55,,,0.17307692307692307,
56,,,0.1806797853309481,
57,,,0.12701252236135957,
58,,,0.1252236135957066,
59,,,0.14025500910746813,
60,,,0.11091234347048301,
61,,,0.11091234347048301,
62,,,0.08370044052863436,
63,,,0.12770137524557956,
64,,,0.1592128801431127,
65,,,0.1761786600496278,
66,,,0.16100178890876565,
67,,,0.07692307692307693,
68,,,0.1037567084078712,
69,,,0.08991825613079019,
70,,,0.10792951541850221,
71,,,0.11633663366336634,
72,,,0.0947136563876652,
73,,,0.08228980322003578,
74,,,0.17326732673267325,
75,,,0.1556350626118068,
76,,,0.10554561717352415,
77,,,0.15026833631484796,
78,,,0.15742397137745975,
79,,,0.17889087656529518,
80,,,0.1735241502683363,
81,,,0.16994633273703041,
82,,,0.11091234347048301,
83,,,0.16636851520572452,
84,,,0.11283185840707964,
85,,,0.17173524150268335,
86,,,0.09481216457960644,
87,,,0.1771019677996422,
88,,,0.14414414414414414,
89,,,0.13774597495527727,
90,,,0.15742397137745975,
91,,,0.13416815742397137,
92,,,0.13237924865831843,
93,,,0.09481216457960644,
94,,,0.18962432915921287,
95,,,0.1520572450805009,
96,,,0.1520572450805009,
97,,,0.15026833631484796,
98,,,0.1858974358974359,
99,,,0.18962432915921287,
100,,,0.08765652951699464,
101,,,0.08228980322003578,
102,,,0.12021857923497267,
103,,,0.07155635062611806,
104,,,0.07155635062611806,
105,,,0.06828193832599119,
106,,,0.09037328094302555,
107,,,0.1520572450805009,
108,,,0.1513647642679901,
109,,,0.1592128801431127,
110,,,0.07692307692307693,
111,,,0.1037567084078712,
112,,,0.0653950953678474,
113,,,0.07709251101321586,
114,,,0.08168316831683169,
115,,,0.0881057268722467,
116,,,0.07871198568872988,
117,,,0.1707920792079208,
118,,,0.13237924865831843,
119,,,0.08944543828264759,
120,,,0.12701252236135957,
121,,,0.148479427549195,
122,,,0.1771019677996422,
123,,,0.16636851520572452,
124,,,0.16100178890876565,
125,,,0.1037567084078712,
